2017-03-26T01:08:26.233+0000 I COMMAND  [ftdc] serverStatus was very slow: { after basic: 0, after asserts: 0, after backgroundFlushing: 0, after connections: 0, after dur: 0, after extra_info: 1488904, after globalLock: 1488904, after locks: 1488904, after network: 1488904, after opLatencies: 1488904, after opcounters: 1488904, after opcountersRepl: 1488904, after repl: 1488904, after security: 1488904, after storageEngine: 1488904, after tcmalloc: 1488904, after wiredTiger: 1488904, at end: 1488904 }
2017-03-26T01:36:51.455+0000 I COMMAND  [ftdc] serverStatus was very slow: { after basic: 0, after asserts: 0, after backgroundFlushing: 0, after connections: 0, after dur: 0, after extra_info: 0, after globalLock: 0, after locks: 0, after network: 0, after opLatencies: 0, after opcounters: 0, after opcountersRepl: 0, after repl: 0, after security: 0, after storageEngine: 0, after tcmalloc: 590392, after wiredTiger: 590392, at end: 590392 }
2017-03-26T03:47:41.573+0000 I -        [conn5] end connection 172.17.0.1:44214 (5 connections now open)
2017-03-26T03:47:41.658+0000 I -        [conn4] end connection 172.17.0.1:44212 (4 connections now open)
2017-03-26T03:47:41.660+0000 I -        [conn3] end connection 172.17.0.1:44210 (3 connections now open)
2017-03-26T03:47:41.660+0000 I -        [conn2] end connection 172.17.0.1:44208 (3 connections now open)
2017-03-26T03:47:41.661+0000 I -        [conn1] end connection 172.17.0.1:44206 (3 connections now open)
2017-03-26T03:47:55.890+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
2017-03-26T03:47:55.895+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
2017-03-26T03:47:55.905+0000 I NETWORK  [signalProcessingThread] closing listening socket: 7
2017-03-26T03:47:55.906+0000 I NETWORK  [signalProcessingThread] closing listening socket: 8
2017-03-26T03:47:55.907+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-28018.sock
2017-03-26T03:47:55.908+0000 I NETWORK  [signalProcessingThread] shutdown: going to flush diaglog...
2017-03-26T03:47:55.909+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
2017-03-26T03:47:55.939+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
2017-03-26T03:47:56.050+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
2017-03-26T03:47:56.051+0000 I CONTROL  [signalProcessingThread] now exiting
2017-03-26T03:47:56.052+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
